invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,sales,cogs,profit,inventory_days,movement_type,profit_margin,overstock_alert
I139207,C191708,Female,29,Books,1,15.15,Credit Card,28-10-2022,Emaar Square Mall,15.15,10.605,4.545,79,Slow Moving,30.0,Healthy
I640508,C225330,Female,67,Toys,4,143.36,Debit Card,31-07-2022,Metrocity,573.44,401.408,172.03200000000004,79,Slow Moving,30.000000000000004,Healthy
I179802,C312861,Male,25,Clothing,2,600.16,Cash,17-11-2022,Cevahir AVM,1200.32,840.2239999999999,360.096,92,Slow Moving,30.000000000000004,Healthy
I336189,C555402,Female,67,Clothing,2,600.16,Credit Card,03-06-2022,Kanyon,1200.32,840.2239999999999,360.096,104,Slow Moving,30.000000000000004,Healthy
I688768,C362288,Male,24,Shoes,5,3000.85,Credit Card,07-11-2021,Viaport Outlet,15004.25,10502.974999999999,4501.2750000000015,108,Slow Moving,30.00000000000001,Healthy
I294687,C300786,Male,65,Books,2,30.3,Debit Card,16-01-2021,Metrocity,60.6,42.42,18.18,28,Fast Moving,30.0,Healthy
I195744,C330667,Female,42,Food & Beverage,3,15.69,Credit Card,05-01-2022,Zorlu Center,47.07,32.949,14.121000000000002,7,Fast Moving,30.000000000000004,Healthy
I993048,C218149,Female,46,Clothing,2,600.16,Cash,26-07-2021,Metropol AVM,1200.32,840.2239999999999,360.096,26,Fast Moving,30.000000000000004,Healthy
I992454,C196845,Male,24,Toys,4,143.36,Cash,07-03-2023,Cevahir AVM,573.44,401.408,172.03200000000004,57,Fast Moving,30.000000000000004,Healthy
I183746,C220180,Male,23,Clothing,1,300.08,Credit Card,15-02-2023,Emaar Square Mall,300.08,210.05599999999998,90.024,6,Fast Moving,30.000000000000004,Healthy
I412481,C125696,Female,27,Food & Beverage,1,5.23,Cash,01-05-2021,Cevahir AVM,5.23,3.661,1.5690000000000004,92,Slow Moving,30.000000000000004,Healthy
I823067,C322947,Male,52,Clothing,2,600.16,Credit Card,18-06-2022,Cevahir AVM,1200.32,840.2239999999999,360.096,112,Slow Moving,30.000000000000004,Healthy
I252275,C313348,Male,44,Technology,5,5250.0,Cash,26-10-2021,Kanyon,26250.0,18375.0,7875.0,34,Fast Moving,30.0,Healthy
I174250,C204553,Female,42,Books,5,75.75,Cash,16-12-2022,Metrocity,378.75,265.125,113.625,42,Fast Moving,30.0,Healthy
I195396,C285161,Male,51,Toys,2,71.68,Debit Card,16-05-2021,Istinye Park,143.36,100.352,43.00800000000001,6,Fast Moving,30.000000000000004,Healthy
I196704,C289625,Female,25,Cosmetics,5,203.3,Credit Card,20-04-2022,Mall of Istanbul,1016.5,711.55,304.95000000000005,68,Fast Moving,30.000000000000004,Healthy
I217053,C192344,Male,50,Shoes,4,2400.68,Cash,10-10-2022,Emaar Square Mall,9602.72,6721.9039999999995,2880.816,64,Fast Moving,30.0,Healthy
I655874,C447138,Female,65,Shoes,3,1800.51,Cash,23-08-2022,Cevahir AVM,5401.53,3781.0709999999995,1620.4590000000003,25,Fast Moving,30.000000000000004,Healthy
I209744,C251229,Male,29,Cosmetics,3,121.98,Credit Card,29-04-2021,Istinye Park,365.94,256.15799999999996,109.78200000000004,37,Fast Moving,30.00000000000001,Healthy
I161949,C159164,Female,66,Toys,3,107.52,Debit Card,04-07-2022,Mall of Istanbul,322.56,225.79199999999997,96.76800000000003,80,Slow Moving,30.00000000000001,Healthy
I331891,C501658,Male,23,Clothing,1,300.08,Credit Card,21-11-2021,Emaar Square Mall,300.08,210.05599999999998,90.024,62,Fast Moving,30.000000000000004,Healthy
I768348,C176727,Female,32,Shoes,3,1800.51,Credit Card,23-02-2022,Kanyon,5401.53,3781.0709999999995,1620.4590000000003,26,Fast Moving,30.000000000000004,Healthy
I109053,C232624,Male,51,Clothing,4,1200.32,Debit Card,11-07-2021,Metrocity,4801.28,3360.8959999999997,1440.384,112,Slow Moving,30.000000000000004,Healthy
I167211,C164092,Female,66,Shoes,4,2400.68,Credit Card,30-08-2022,Zorlu Center,9602.72,6721.9039999999995,2880.816,93,Slow Moving,30.0,Healthy
I339732,C276887,Male,68,Food & Beverage,1,5.23,Credit Card,04-01-2023,Emaar Square Mall,5.23,3.661,1.5690000000000004,53,Fast Moving,30.000000000000004,Healthy
I147062,C245456,Male,43,Clothing,5,1500.4,Credit Card,21-06-2022,Kanyon,7502.0,5251.4,2250.6000000000004,95,Slow Moving,30.000000000000004,Healthy
I187519,C450287,Female,59,Clothing,2,600.16,Credit Card,08-07-2022,Metrocity,1200.32,840.2239999999999,360.096,63,Fast Moving,30.000000000000004,Healthy
I106674,C204279,Male,54,Clothing,2,600.16,Cash,27-02-2022,Kanyon,1200.32,840.2239999999999,360.096,46,Fast Moving,30.000000000000004,Healthy
I473411,C452806,Male,24,Clothing,1,300.08,Cash,19-12-2022,Metropol AVM,300.08,210.05599999999998,90.024,96,Slow Moving,30.000000000000004,Healthy
I246550,C716788,Female,49,Food & Beverage,3,15.69,Cash,10-09-2021,Zorlu Center,47.07,32.949,14.121000000000002,64,Fast Moving,30.000000000000004,Healthy
I138674,C155059,Male,67,Cosmetics,2,81.32,Credit Card,14-02-2022,Metropol AVM,162.64,113.84799999999998,48.792,84,Slow Moving,30.000000000000004,Healthy
I752693,C306662,Female,48,Cosmetics,3,121.98,Cash,28-04-2022,Metrocity,365.94,256.15799999999996,109.78200000000004,19,Fast Moving,30.00000000000001,Healthy
I826174,C607615,Female,40,Shoes,4,2400.68,Cash,20-06-2022,Metrocity,9602.72,6721.9039999999995,2880.816,66,Fast Moving,30.0,Healthy
I296025,C120164,Female,41,Shoes,3,1800.51,Credit Card,21-04-2022,Kanyon,5401.53,3781.0709999999995,1620.4590000000003,66,Fast Moving,30.000000000000004,Healthy
I117291,C134449,Male,46,Books,5,75.75,Credit Card,09-12-2022,Zorlu Center,378.75,265.125,113.625,51,Fast Moving,30.0,Healthy
I267193,C317818,Female,19,Cosmetics,3,121.98,Credit Card,12-01-2023,Mall of Istanbul,365.94,256.15799999999996,109.78200000000004,66,Fast Moving,30.00000000000001,Healthy
I205366,C241642,Female,43,Clothing,4,1200.32,Debit Card,07-11-2022,Zorlu Center,4801.28,3360.8959999999997,1440.384,55,Fast Moving,30.000000000000004,Healthy
I269690,C126436,Male,18,Cosmetics,3,121.98,Debit Card,07-02-2022,Zorlu Center,365.94,256.15799999999996,109.78200000000004,112,Slow Moving,30.00000000000001,Healthy
I304265,C653385,Female,22,Books,5,75.75,Debit Card,13-06-2021,Forum Istanbul,378.75,265.125,113.625,59,Fast Moving,30.0,Healthy
I246562,C227070,Female,61,Cosmetics,5,203.3,Cash,23-08-2021,Emaar Square Mall,1016.5,711.55,304.95000000000005,68,Fast Moving,30.000000000000004,Healthy
I202367,C317478,Female,41,Books,3,45.45,Cash,24-02-2023,Istinye Park,136.35000000000002,95.44500000000001,40.905000000000015,7,Fast Moving,30.000000000000004,Healthy
I664787,C237330,Female,53,Cosmetics,2,81.32,Credit Card,12-01-2023,Istinye Park,162.64,113.84799999999998,48.792,105,Slow Moving,30.000000000000004,Healthy
I160777,C626042,Female,43,Technology,4,4200.0,Cash,22-02-2022,Metrocity,16800.0,11760.0,5040.0,55,Fast Moving,30.0,Healthy
I137794,C133687,Female,45,Food & Beverage,3,15.69,Debit Card,12-03-2021,Viaport Outlet,47.07,32.949,14.121000000000002,11,Fast Moving,30.000000000000004,Healthy
I148377,C841663,Female,29,Clothing,1,300.08,Cash,02-01-2022,Istinye Park,300.08,210.05599999999998,90.024,25,Fast Moving,30.000000000000004,Healthy
I258195,C213742,Male,43,Toys,2,71.68,Cash,26-11-2021,Kanyon,143.36,100.352,43.00800000000001,77,Slow Moving,30.000000000000004,Healthy
I300213,C962515,Female,19,Clothing,4,1200.32,Credit Card,21-04-2021,Kanyon,4801.28,3360.8959999999997,1440.384,43,Fast Moving,30.000000000000004,Healthy
I263803,C112279,Female,67,Food & Beverage,3,15.69,Cash,23-06-2021,Kanyon,47.07,32.949,14.121000000000002,22,Fast Moving,30.000000000000004,Healthy
I335713,C158837,Female,36,Books,4,60.6,Cash,14-12-2021,Kanyon,242.4,169.68,72.72,8,Fast Moving,30.0,Healthy
I133061,C336576,Male,64,Clothing,5,1500.4,Credit Card,09-06-2022,Mall of Istanbul,7502.0,5251.4,2250.6000000000004,93,Slow Moving,30.000000000000004,Healthy
I207205,C716161,Female,33,Clothing,1,300.08,Debit Card,26-11-2021,Kanyon,300.08,210.05599999999998,90.024,64,Fast Moving,30.000000000000004,Healthy
I209289,C439382,Female,33,Clothing,4,1200.32,Credit Card,05-02-2021,Kanyon,4801.28,3360.8959999999997,1440.384,18,Fast Moving,30.000000000000004,Healthy
I157285,C123427,Male,66,Clothing,4,1200.32,Cash,06-03-2022,Mall of Istanbul,4801.28,3360.8959999999997,1440.384,118,Slow Moving,30.000000000000004,Healthy
I218590,C224743,Female,29,Cosmetics,4,162.64,Debit Card,09-05-2022,Metropol AVM,650.56,455.39199999999994,195.168,13,Fast Moving,30.000000000000004,Healthy
I181109,C119549,Male,22,Toys,3,107.52,Cash,17-10-2022,Mall of Istanbul,322.56,225.79199999999997,96.76800000000003,94,Slow Moving,30.00000000000001,Healthy
I221715,C187266,Female,63,Food & Beverage,3,15.69,Cash,22-01-2022,Cevahir AVM,47.07,32.949,14.121000000000002,57,Fast Moving,30.000000000000004,Healthy
I204979,C173084,Female,24,Souvenir,5,58.65,Debit Card,14-03-2021,Istinye Park,293.25,205.27499999999998,87.97500000000002,6,Fast Moving,30.00000000000001,Healthy
I115146,C126956,Female,24,Cosmetics,5,203.3,Cash,27-04-2022,Metrocity,1016.5,711.55,304.95000000000005,88,Slow Moving,30.000000000000004,Healthy
I883721,C236859,Female,44,Technology,5,5250.0,Credit Card,19-11-2021,Mall of Istanbul,26250.0,18375.0,7875.0,96,Slow Moving,30.0,Healthy
I402376,C309926,Male,34,Shoes,5,3000.85,Cash,10-09-2022,Forum Istanbul,15004.25,10502.974999999999,4501.2750000000015,115,Slow Moving,30.00000000000001,Healthy
I251356,C493252,Female,47,Cosmetics,4,162.64,Cash,04-09-2021,Kanyon,650.56,455.39199999999994,195.168,64,Fast Moving,30.000000000000004,Healthy
I292239,C109871,Male,38,Food & Beverage,5,26.15,Cash,21-08-2022,Mall of Istanbul,130.75,91.52499999999999,39.22500000000001,75,Fast Moving,30.000000000000004,Healthy
I276526,C136117,Female,57,Shoes,5,3000.85,Debit Card,02-10-2021,Emaar Square Mall,15004.25,10502.974999999999,4501.2750000000015,48,Fast Moving,30.00000000000001,Healthy
I260525,C258404,Male,67,Toys,3,107.52,Cash,07-01-2023,Emaar Square Mall,322.56,225.79199999999997,96.76800000000003,12,Fast Moving,30.00000000000001,Healthy
I870944,C169749,Male,41,Souvenir,3,35.19,Credit Card,08-06-2021,Cevahir AVM,105.57,73.89899999999999,31.671000000000006,51,Fast Moving,30.00000000000001,Healthy
I739573,C199947,Female,40,Clothing,5,1500.4,Debit Card,17-04-2021,Kanyon,7502.0,5251.4,2250.6000000000004,39,Fast Moving,30.000000000000004,Healthy
I115870,C135790,Female,69,Shoes,4,2400.68,Cash,04-09-2021,Metrocity,9602.72,6721.9039999999995,2880.816,82,Slow Moving,30.0,Healthy
I190444,C606418,Female,47,Food & Beverage,5,26.15,Cash,20-07-2022,Mall of Istanbul,130.75,91.52499999999999,39.22500000000001,85,Slow Moving,30.000000000000004,Healthy
I309552,C111611,Female,53,Food & Beverage,4,20.92,Credit Card,14-07-2021,Istinye Park,83.68,58.576,25.104000000000006,40,Fast Moving,30.000000000000004,Healthy
I306076,C679476,Male,40,Toys,2,71.68,Cash,01-11-2022,Emaar Square Mall,143.36,100.352,43.00800000000001,54,Fast Moving,30.000000000000004,Healthy
I321683,C542025,Male,60,Cosmetics,4,162.64,Credit Card,06-01-2023,Metrocity,650.56,455.39199999999994,195.168,108,Slow Moving,30.000000000000004,Healthy
I151332,C168491,Male,30,Souvenir,2,23.46,Cash,25-03-2021,Kanyon,46.92,32.844,14.076,8,Fast Moving,30.0,Healthy
I340014,C169650,Female,66,Clothing,2,600.16,Credit Card,08-09-2022,Istinye Park,1200.32,840.2239999999999,360.096,6,Fast Moving,30.000000000000004,Healthy
I249424,C158160,Male,22,Food & Beverage,1,5.23,Cash,18-02-2022,Mall of Istanbul,5.23,3.661,1.5690000000000004,10,Fast Moving,30.000000000000004,Healthy
I227716,C552345,Male,53,Food & Beverage,2,10.46,Cash,22-04-2021,Kanyon,20.92,14.644,6.276000000000002,58,Fast Moving,30.000000000000004,Healthy
I140663,C218383,Female,52,Clothing,5,1500.4,Cash,15-10-2022,Zorlu Center,7502.0,5251.4,2250.6000000000004,110,Slow Moving,30.000000000000004,Healthy
I253242,C309438,Male,26,Shoes,5,3000.85,Cash,07-04-2022,Mall of Istanbul,15004.25,10502.974999999999,4501.2750000000015,8,Fast Moving,30.00000000000001,Healthy
I108359,C253905,Male,66,Food & Beverage,1,5.23,Cash,07-06-2022,Mall of Istanbul,5.23,3.661,1.5690000000000004,58,Fast Moving,30.000000000000004,Healthy
I195567,C992677,Male,65,Clothing,4,1200.32,Debit Card,22-01-2023,Metropol AVM,4801.28,3360.8959999999997,1440.384,97,Slow Moving,30.000000000000004,Healthy
I289643,C584700,Female,43,Technology,2,2100.0,Cash,22-08-2022,Kanyon,4200.0,2940.0,1260.0,67,Fast Moving,30.0,Healthy
I722319,C157070,Female,59,Toys,1,35.84,Debit Card,03-10-2021,Kanyon,35.84,25.088,10.752000000000002,22,Fast Moving,30.000000000000004,Healthy
I317105,C177975,Female,30,Souvenir,5,58.65,Debit Card,29-07-2021,Kanyon,293.25,205.27499999999998,87.97500000000002,94,Slow Moving,30.00000000000001,Healthy
I215721,C830576,Female,25,Cosmetics,2,81.32,Debit Card,16-12-2022,Metrocity,162.64,113.84799999999998,48.792,48,Fast Moving,30.000000000000004,Healthy
I154469,C807389,Female,29,Toys,3,107.52,Debit Card,03-06-2021,Mall of Istanbul,322.56,225.79199999999997,96.76800000000003,38,Fast Moving,30.00000000000001,Healthy
I172458,C277842,Female,19,Clothing,2,600.16,Debit Card,17-12-2021,Cevahir AVM,1200.32,840.2239999999999,360.096,78,Slow Moving,30.000000000000004,Healthy
I297270,C183011,Male,62,Clothing,5,1500.4,Credit Card,31-12-2022,Metropol AVM,7502.0,5251.4,2250.6000000000004,66,Fast Moving,30.000000000000004,Healthy
I153930,C567813,Male,39,Food & Beverage,3,15.69,Cash,09-08-2022,Forum Istanbul,47.07,32.949,14.121000000000002,104,Slow Moving,30.000000000000004,Healthy
I282854,C282974,Female,33,Clothing,3,900.24,Cash,31-07-2022,Kanyon,2700.7200000000003,1890.5040000000001,810.2160000000001,18,Fast Moving,30.000000000000004,Healthy
I869144,C181972,Female,26,Food & Beverage,4,20.92,Debit Card,04-05-2021,Mall of Istanbul,83.68,58.576,25.104000000000006,99,Slow Moving,30.000000000000004,Healthy
I283443,C189493,Male,43,Technology,3,3150.0,Credit Card,25-05-2022,Viaport Outlet,9450.0,6615.0,2835.0,52,Fast Moving,30.0,Healthy
I193271,C242748,Female,40,Food & Beverage,3,15.69,Debit Card,23-12-2022,Kanyon,47.07,32.949,14.121000000000002,19,Fast Moving,30.000000000000004,Healthy
I985478,C324683,Male,55,Clothing,4,1200.32,Credit Card,24-01-2023,Kanyon,4801.28,3360.8959999999997,1440.384,76,Slow Moving,30.000000000000004,Healthy
I200392,C307921,Female,24,Clothing,5,1500.4,Credit Card,14-09-2021,Viaport Outlet,7502.0,5251.4,2250.6000000000004,82,Slow Moving,30.000000000000004,Healthy
I256691,C152549,Male,24,Cosmetics,1,40.66,Cash,04-02-2022,Metrocity,40.66,28.461999999999996,12.198,91,Slow Moving,30.000000000000004,Healthy
I796162,C111832,Female,30,Food & Beverage,5,26.15,Credit Card,06-01-2022,Metrocity,130.75,91.52499999999999,39.22500000000001,66,Fast Moving,30.000000000000004,Healthy
I224371,C204174,Male,34,Clothing,5,1500.4,Credit Card,01-02-2022,Mall of Istanbul,7502.0,5251.4,2250.6000000000004,44,Fast Moving,30.000000000000004,Healthy
I215998,C279370,Female,64,Clothing,5,1500.4,Cash,26-10-2022,Cevahir AVM,7502.0,5251.4,2250.6000000000004,89,Slow Moving,30.000000000000004,Healthy
I338966,C907582,Female,57,Clothing,5,1500.4,Cash,21-09-2022,Mall of Istanbul,7502.0,5251.4,2250.6000000000004,84,Slow Moving,30.000000000000004,Healthy
I293215,C166635,Male,18,Cosmetics,4,162.64,Credit Card,12-12-2021,Istinye Park,650.56,455.39199999999994,195.168,113,Slow Moving,30.000000000000004,Healthy
I149688,C276043,Female,26,Clothing,4,1200.32,Cash,21-08-2021,Zorlu Center,4801.28,3360.8959999999997,1440.384,86,Slow Moving,30.000000000000004,Healthy
I109649,C282643,Female,19,Food & Beverage,3,15.69,Debit Card,08-10-2021,Emaar Square Mall,47.07,32.949,14.121000000000002,115,Slow Moving,30.000000000000004,Healthy
I299820,C820515,Female,22,Books,3,45.45,Cash,22-11-2021,Kanyon,136.35000000000002,95.44500000000001,40.905000000000015,57,Fast Moving,30.000000000000004,Healthy
I157775,C331761,Male,48,Clothing,1,300.08,Cash,19-03-2022,Kanyon,300.08,210.05599999999998,90.024,28,Fast Moving,30.000000000000004,Healthy
I317140,C326893,Female,56,Souvenir,5,58.65,Cash,19-10-2022,Istinye Park,293.25,205.27499999999998,87.97500000000002,30,Fast Moving,30.00000000000001,Healthy
I147334,C306395,Male,35,Clothing,2,600.16,Cash,12-01-2022,Viaport Outlet,1200.32,840.2239999999999,360.096,93,Slow Moving,30.000000000000004,Healthy
I278121,C885344,Female,60,Toys,4,143.36,Debit Card,07-06-2021,Metrocity,573.44,401.408,172.03200000000004,64,Fast Moving,30.000000000000004,Healthy
I134452,C112750,Female,32,Clothing,1,300.08,Credit Card,15-01-2023,Forum Istanbul,300.08,210.05599999999998,90.024,113,Slow Moving,30.000000000000004,Healthy
I320846,C274870,Male,27,Clothing,4,1200.32,Credit Card,11-11-2021,Kanyon,4801.28,3360.8959999999997,1440.384,45,Fast Moving,30.000000000000004,Healthy
I740676,C199864,Female,56,Clothing,2,600.16,Credit Card,21-09-2022,Istinye Park,1200.32,840.2239999999999,360.096,33,Fast Moving,30.000000000000004,Healthy
I142331,C997380,Male,35,Cosmetics,4,162.64,Debit Card,30-05-2021,Metrocity,650.56,455.39199999999994,195.168,19,Fast Moving,30.000000000000004,Healthy
I222983,C132002,Female,68,Clothing,1,300.08,Credit Card,23-12-2021,Metropol AVM,300.08,210.05599999999998,90.024,49,Fast Moving,30.000000000000004,Healthy
I164665,C255058,Female,64,Technology,2,2100.0,Cash,30-04-2022,Kanyon,4200.0,2940.0,1260.0,69,Fast Moving,30.0,Healthy
I133387,C271799,Female,60,Toys,4,143.36,Cash,07-06-2021,Forum Istanbul,573.44,401.408,172.03200000000004,93,Slow Moving,30.000000000000004,Healthy
I276763,C765620,Male,64,Toys,5,179.2,Debit Card,21-02-2022,Kanyon,896.0,627.1999999999999,268.80000000000007,75,Fast Moving,30.00000000000001,Healthy
I273890,C891545,Female,41,Clothing,3,900.24,Debit Card,26-08-2021,Emaar Square Mall,2700.7200000000003,1890.5040000000001,810.2160000000001,13,Fast Moving,30.000000000000004,Healthy
I774221,C519513,Male,30,Food & Beverage,5,26.15,Cash,15-12-2021,Metrocity,130.75,91.52499999999999,39.22500000000001,92,Slow Moving,30.000000000000004,Healthy
I202171,C125624,Male,40,Clothing,1,300.08,Debit Card,20-02-2021,Mall of Istanbul,300.08,210.05599999999998,90.024,5,Fast Moving,30.000000000000004,Healthy
I219780,C658980,Female,29,Clothing,2,600.16,Cash,08-10-2021,Kanyon,1200.32,840.2239999999999,360.096,112,Slow Moving,30.000000000000004,Healthy
I160221,C319231,Male,25,Clothing,3,900.24,Cash,01-08-2022,Mall of Istanbul,2700.7200000000003,1890.5040000000001,810.2160000000001,12,Fast Moving,30.000000000000004,Healthy
I106691,C150594,Female,60,Clothing,4,1200.32,Cash,09-09-2021,Kanyon,4801.28,3360.8959999999997,1440.384,92,Slow Moving,30.000000000000004,Healthy
I129886,C846730,Female,42,Food & Beverage,5,26.15,Cash,25-10-2021,Metrocity,130.75,91.52499999999999,39.22500000000001,67,Fast Moving,30.000000000000004,Healthy
I745394,C249877,Male,54,Food & Beverage,1,5.23,Cash,14-12-2021,Metropol AVM,5.23,3.661,1.5690000000000004,15,Fast Moving,30.000000000000004,Healthy
I157056,C200826,Female,50,Clothing,5,1500.4,Cash,20-06-2021,Kanyon,7502.0,5251.4,2250.6000000000004,119,Slow Moving,30.000000000000004,Healthy
I304531,C263874,Male,54,Clothing,1,300.08,Debit Card,07-04-2021,Metropol AVM,300.08,210.05599999999998,90.024,85,Slow Moving,30.000000000000004,Healthy
I762439,C663463,Female,45,Books,4,60.6,Cash,05-12-2021,Metrocity,242.4,169.68,72.72,12,Fast Moving,30.0,Healthy
I300972,C134370,Female,40,Cosmetics,1,40.66,Credit Card,25-05-2021,Zorlu Center,40.66,28.461999999999996,12.198,39,Fast Moving,30.000000000000004,Healthy
I151588,C310642,Male,24,Books,3,45.45,Credit Card,12-04-2022,Metrocity,136.35000000000002,95.44500000000001,40.905000000000015,39,Fast Moving,30.000000000000004,Healthy
I657069,C651699,Male,40,Clothing,4,1200.32,Cash,16-12-2021,Mall of Istanbul,4801.28,3360.8959999999997,1440.384,37,Fast Moving,30.000000000000004,Healthy
I122655,C989693,Female,32,Technology,2,2100.0,Credit Card,21-02-2021,Metropol AVM,4200.0,2940.0,1260.0,9,Fast Moving,30.0,Healthy
I236914,C123581,Female,28,Clothing,3,900.24,Cash,26-10-2021,Mall of Istanbul,2700.7200000000003,1890.5040000000001,810.2160000000001,110,Slow Moving,30.000000000000004,Healthy
I247471,C192446,Female,22,Toys,1,35.84,Cash,18-12-2022,Mall of Istanbul,35.84,25.088,10.752000000000002,107,Slow Moving,30.000000000000004,Healthy
I362306,C143343,Female,21,Clothing,1,300.08,Credit Card,19-09-2022,Metrocity,300.08,210.05599999999998,90.024,45,Fast Moving,30.000000000000004,Healthy
I215279,C223343,Female,31,Clothing,2,600.16,Credit Card,01-02-2023,Kanyon,1200.32,840.2239999999999,360.096,32,Fast Moving,30.000000000000004,Healthy
I216061,C309082,Female,61,Food & Beverage,3,15.69,Credit Card,05-10-2022,Mall of Istanbul,47.07,32.949,14.121000000000002,11,Fast Moving,30.000000000000004,Healthy
I246375,C236365,Female,67,Cosmetics,2,81.32,Cash,28-11-2021,Kanyon,162.64,113.84799999999998,48.792,77,Slow Moving,30.000000000000004,Healthy
I103596,C178734,Male,52,Shoes,5,3000.85,Cash,03-08-2021,Kanyon,15004.25,10502.974999999999,4501.2750000000015,76,Slow Moving,30.00000000000001,Healthy
I259878,C223010,Male,44,Clothing,4,1200.32,Credit Card,12-10-2022,Metropol AVM,4801.28,3360.8959999999997,1440.384,16,Fast Moving,30.000000000000004,Healthy
I206422,C289933,Female,48,Food & Beverage,2,10.46,Credit Card,28-09-2022,Kanyon,20.92,14.644,6.276000000000002,38,Fast Moving,30.000000000000004,Healthy
I201704,C340116,Female,53,Food & Beverage,3,15.69,Cash,12-07-2021,Metrocity,47.07,32.949,14.121000000000002,37,Fast Moving,30.000000000000004,Healthy
I168037,C816586,Male,27,Toys,4,143.36,Cash,03-07-2021,Mall of Istanbul,573.44,401.408,172.03200000000004,52,Fast Moving,30.000000000000004,Healthy
I307534,C434171,Female,28,Cosmetics,4,162.64,Cash,26-03-2022,Viaport Outlet,650.56,455.39199999999994,195.168,27,Fast Moving,30.000000000000004,Healthy
I259196,C215384,Female,43,Toys,4,143.36,Credit Card,17-05-2022,Cevahir AVM,573.44,401.408,172.03200000000004,66,Fast Moving,30.000000000000004,Healthy
I141241,C143442,Male,54,Souvenir,5,58.65,Credit Card,11-04-2022,Kanyon,293.25,205.27499999999998,87.97500000000002,92,Slow Moving,30.00000000000001,Healthy
I289973,C102926,Male,41,Food & Beverage,5,26.15,Credit Card,22-10-2021,Kanyon,130.75,91.52499999999999,39.22500000000001,41,Fast Moving,30.000000000000004,Healthy
I147203,C340063,Female,59,Cosmetics,5,203.3,Cash,20-12-2021,Istinye Park,1016.5,711.55,304.95000000000005,103,Slow Moving,30.000000000000004,Healthy
I323788,C131786,Female,32,Clothing,1,300.08,Credit Card,17-03-2022,Metropol AVM,300.08,210.05599999999998,90.024,48,Fast Moving,30.000000000000004,Healthy
I285454,C194380,Female,41,Souvenir,5,58.65,Credit Card,23-06-2022,Metropol AVM,293.25,205.27499999999998,87.97500000000002,108,Slow Moving,30.00000000000001,Healthy
I288152,C269623,Female,30,Technology,3,3150.0,Debit Card,19-06-2021,Mall of Istanbul,9450.0,6615.0,2835.0,90,Slow Moving,30.0,Healthy
I134126,C847171,Male,22,Clothing,1,300.08,Debit Card,30-08-2022,Istinye Park,300.08,210.05599999999998,90.024,95,Slow Moving,30.000000000000004,Healthy
I311052,C556552,Female,51,Clothing,4,1200.32,Cash,20-11-2021,Cevahir AVM,4801.28,3360.8959999999997,1440.384,39,Fast Moving,30.000000000000004,Healthy
I176469,C876528,Female,23,Food & Beverage,2,10.46,Credit Card,31-07-2021,Viaport Outlet,20.92,14.644,6.276000000000002,69,Fast Moving,30.000000000000004,Healthy
I167993,C303493,Male,40,Toys,2,71.68,Cash,20-02-2022,Kanyon,143.36,100.352,43.00800000000001,103,Slow Moving,30.000000000000004,Healthy
I222086,C978718,Male,37,Clothing,5,1500.4,Cash,09-02-2023,Emaar Square Mall,7502.0,5251.4,2250.6000000000004,105,Slow Moving,30.000000000000004,Healthy
I164597,C111766,Female,24,Clothing,1,300.08,Cash,24-03-2021,Mall of Istanbul,300.08,210.05599999999998,90.024,51,Fast Moving,30.000000000000004,Healthy
